GIORNATA;CASA;TRASFERTA;RISULTATO;
16/10/2004  h. 15:00;GREEN HOGS;PANTHERS;20-0;
30/10/2004  h. 18:00;GREEN HOGS;WOLFZ;37-6;
14/11/2004  h. 15.00;BLACKS;GREEN HOGS;0-34;
21/11/2004  h. 14:00;BOBCATS;GREEN HOGS;0-56;
28/11/2004  h. 14:30;GREEN HOGS;BOBCATS;69-0;
2004-12-19;BLACKS;RED HOGS;38-6;
SKY BLAST BOWL;;;;
05/12/2004  h. 14:30;GREEN HOGS;BLACKS;38-22;
SEMIFINALI;;;;
12/12/2004  h. 14:30;GREEN HOGS;SCORPIONS;36-12;
JUNIOR BOWL;;;;
19/12/2004  h. 14:30;BARBARI;GREEN HOGS;28-30;
