GIORNATA;CASA;TRASFERTA;RISULTATO;
01/03/2015 h.14:30;REDSKINS;HOGS;6-47;
21/03/2015 h.20:30;MASTINI;HOGS;0-48;
28/03/2015 h.18:00;HOGS;BENGALS;33-21;
12/04/2015 h.15:00;HURRICANES;HOGS;8-17;
18/04/2015 h.20:15;HOGS;REDSKINS;51-6;
09/05/2015 h.20:30;HOGS;MASTINI;55-13;
16/05/2015 h.20:00;BENGALS;HOGS;0-49;
23/05/2015 h.20:30;HOGS;HURRICANES;58-0;
QUARTI FINALE;;;;
13/06/2015 h.20:30;HOGS;BLUE STORMS;46-7;
SEMIFINALI;;;;
20/06/2015 h.20:30;HOGS;GUELFI;28-20;
ITALIAN BOWL;;;;
05/07/2015 h.18:00;BLACKS;HOGS;0-28;
